datapath,in_port,eth_src,eth_dst,ip_src,ip_dst,protocol,tcp_src,tcp_dst,packet_count,byte_count,duration_sec,duration_nsec,class_label
1,0,,,,,0,0,0,40626,4469904,13,837000000,0
10,0,,,,,0,0,0,20300,2235421,13,704000000,0
8,0,,,,,0,0,0,40528,4462095,13,741000000,0
4,0,,,,,0,0,0,20416,2246157,13,804000000,0
9,0,,,,,0,0,0,81,9398,13,722000000,0
7,0,,,,,0,0,0,40636,4473356,13,760000000,0
1,0,,,,,0,0,0,132663,13714536,43,837000000,0
10,0,,,,,0,0,0,66161,6842970,43,704000000,0
8,0,,,,,0,0,0,132233,13677333,43,742000000,0
9,0,,,,,0,0,0,100,11260,43,723000000,0
4,0,,,,,0,0,0,66581,6882218,43,805000000,0
7,0,,,,,0,0,0,132649,13713850,43,761000000,0
1,0,,,,,0,0,0,227220,22841476,73,839000000,0
8,0,,,,,0,0,0,226816,22809811,73,743000000,0
10,0,,,,,0,0,0,113500,11414733,73,706000000,0
9,0,,,,,0,0,0,112,12366,73,724000000,0
7,0,,,,,0,0,0,227178,22843753,73,762000000,0
4,0,,,,,0,0,0,113865,11447386,73,806000000,0
1,0,,,,,0,0,0,319534,31598669,103,839000000,0
10,0,,,,,0,0,0,159650,15792668,103,706000000,0
9,0,,,,,0,0,0,112,12366,103,725000000,0
8,0,,,,,0,0,0,319116,31565184,103,744000000,0
4,0,,,,,0,0,0,160000,15825923,103,806000000,0
7,0,,,,,0,0,0,319463,31598413,103,763000000,0
1,0,,,,,0,0,0,409572,40042277,133,840000000,0
10,0,,,,,0,0,0,204660,20015106,133,707000000,0
9,0,,,,,0,0,0,122,13332,133,726000000,0
8,0,,,,,0,0,0,409123,40007706,133,745000000,0
7,0,,,,,0,0,0,409472,40042246,133,764000000,0
4,0,,,,,0,0,0,205013,20048432,133,807000000,0
1,0,,,,,0,0,0,502903,48739430,163,841000000,0
10,0,,,,,0,0,0,251310,24361269,163,708000000,0
9,0,,,,,0,0,0,124,13472,163,726000000,0
8,0,,,,,0,0,0,502416,48701778,163,745000000,0
4,0,,,,,0,0,0,251672,24396458,163,808000000,0
7,0,,,,,0,0,0,502776,48739337,163,765000000,0
1,0,,,,,0,0,0,595945,57352656,193,841000000,0
10,0,,,,,0,0,0,297813,28667950,193,708000000,0
7,0,,,,,0,0,0,595788,57344914,193,765000000,0
8,0,,,,,0,0,0,595428,57318411,193,746000000,0
9,0,,,,,0,0,0,124,13472,193,727000000,0
4,0,,,,,0,0,0,298175,28698472,193,808000000,0
1,0,,,,,0,0,0,688551,65878877,223,844000000,0
10,0,,,,,0,0,0,344107,32932769,223,711000000,0
9,0,,,,,0,0,0,126,13612,223,730000000,0
8,0,,,,,0,0,0,688020,65844267,223,748000000,0
7,0,,,,,0,0,0,688361,65878085,223,768000000,0
4,0,,,,,0,0,0,344456,32962578,223,811000000,0
1,0,,,,,0,0,0,781594,74418381,253,843000000,0
8,0,,,,,0,0,0,781022,74383937,253,747000000,0
10,0,,,,,0,0,0,390618,37202392,253,710000000,0
9,0,,,,,0,0,0,128,13752,253,729000000,0
7,0,,,,,0,0,0,781380,74407951,253,768000000,0
4,0,,,,,0,0,0,390978,37230747,253,811000000,0
1,0,,,,,0,0,0,874614,82945132,283,845000000,0
10,0,,,,,0,0,0,437112,41461253,283,712000000,0
8,0,,,,,0,0,0,874011,82905053,283,749000000,0
7,0,,,,,0,0,0,874371,82932367,283,768000000,0
4,0,,,,,0,0,0,437473,41494100,283,812000000,0
9,0,,,,,0,0,0,136,14578,283,730000000,0
1,0,,,,,0,0,0,967855,91461191,313,846000000,0
10,0,,,,,0,0,0,483715,45718484,313,713000000,0
8,0,,,,,0,0,0,967229,91418003,313,750000000,0
9,0,,,,,0,0,0,136,14578,313,731000000,0
4,0,,,,,0,0,0,484070,45753238,313,813000000,0
7,0,,,,,0,0,0,967583,91454310,313,770000000,0
1,0,,,,,0,0,0,1060803,99922814,343,847000000,0
10,0,,,,,0,0,0,530181,49952704,343,714000000,0
7,0,,,,,0,0,0,1060502,99912994,343,771000000,0
9,0,,,,,0,0,0,136,14578,343,733000000,0
8,0,,,,,0,0,0,1060144,99884128,343,751000000,0
4,0,,,,,0,0,0,530540,49981738,343,814000000,0
1,0,,,,,0,0,0,1153749,108368649,373,847000000,0
10,0,,,,,0,0,0,576636,54174646,373,715000000,0
8,0,,,,,0,0,0,1153060,108328705,373,752000000,0
9,0,,,,,0,0,0,136,14578,373,733000000,0
4,0,,,,,0,0,0,576995,54203678,373,815000000,0
7,0,,,,,0,0,0,1153418,108357896,373,771000000,0
